match_id,league_division,round,date,kickoff_time,attendance,capacity,stadium,city,home_team,away_team,home_goals,away_goals,result,home_formation,away_formation,home_team_rating,away_team_rating,home_shots_total,away_shots_total,home_shots_on_target,away_shots_on_target,home_shots_off_target,away_shots_off_target,home_shots_inside_box,away_shots_inside_box,home_shots_outside_box,away_shots_outside_box,home_headed_goals,away_headed_goals,home_hit_woodwork,away_hit_woodwork,home_corners,away_corners,home_free_kicks,away_free_kicks,home_throw_ins,away_throw_ins,home_fouls_committed,away_fouls_committed,home_offsides,away_offsides,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_goalkeeper_saves,away_goalkeeper_saves,home_possession_pct,away_possession_pct,home_touches_opp_box,away_touches_opp_box,home_passes_pct,away_passes_pct,home_passes_successful,away_passes_successful,home_passes_total,away_passes_total,home_long_passes_pct,away_long_passes_pct,home_long_passes_successful,away_long_passes_successful,home_long_passes_total,away_long_passes_total,home_passes_final_third_pct,away_passes_final_third_pct,home_passes_final_third_successful,away_passes_final_third_successful,home_passes_final_third_total,away_passes_final_third_total,home_crosses_pct,away_crosses_pct,home_crosses_successful,away_crosses_successful,home_crosses_total,away_crosses_total,home_big_chances,away_big_chances,home_duels_won,away_duels_won,home_errors_leading_to_shot,away_errors_leading_to_shot,home_errors_leading_to_goal,away_errors_leading_to_goal,home_accurate_through_passes,away_accurate_through_passes,home_tackles_pct,away_tackles_pct,home_tackles_successful,away_tackles_successful,home_tackles_total,away_tackles_total,home_shots_blocked,away_shots_blocked,home_clearances,away_clearances,home_interceptions,away_interceptions,home_xg,away_xg,home_xgot,away_xgot,home_xa,away_xa,home_xgot_faced,away_xgot_faced,home_goals_prevented,away_goals_prevented
IkrWhs6U,CAF Champions League,2,"November 28, 2025",09:00 PM,,21000,Stade Olympique de Rabat,Rabat,FAR Rabat (Mar),Al Ahly (Egy),1,1,D,4-4-1-1,4-4-2,5.8,7.1,13,13,4,1,6,7,12,9,1,4,0,1,0,1,4,3,9,10,13,28,10,9,3,3,3,1,0,0,0,3,47,53,28,24,83,80,312,345,377,431,52,46,22,24,42,52,67,69,60,91,90,132,37,39,7,7,19,18,2,1,39,52,2,0,0,0,0,0,79,65,11,13,14,20,3,5,35,11,9,13,1.68,0.79,1.35,0.95,0.99,1.03,0.95,1.35,-0.05,0.35
dt357tLN,CAF Champions League,5,"February 07, 2026",09:00 PM,,50766,Hocine Ait Ahmed Stadium,Tizi Ouzou,Kabylie (Alg),Al Ahly (Egy),0,0,D,4-3-3,4-2-3-1,7.2,8.8,20,6,6,1,10,2,15,4,5,2,,,1,0,7,1,22,10,20,16,10,22,1,2,1,2,0,0,1,6,50,50,25,10,85,86,360,379,424,442,52,49,23,21,44,43,62,73,76,89,123,122,43,13,13,1,30,8,3,0,51,39,0,0,0,0,0,0,92,75,11,12,12,16,4,3,13,34,19,14,1.66,0.28,1.35,0.05,1.74,0.26,0.05,1.35,0.05,1.35
fB13oHKP,CAF Champions League,1,"November 22, 2025",06:00 PM,,,,,Al Ahly (Egy),Kabylie (Alg),4,1,H,4-2-3-1,4-2-3-1,6.6,6.7,18,9,7,4,9,4,13,2,5,7,1,0,2,0,11,2,8,3,25,16,3,8,4,3,0,2,0,0,4,4,61,39,34,8,86,77,416,251,486,324,45,43,23,20,51,47,74,55,92,40,125,73,32,0,8,0,25,9,4,2,45,37,0,0,0,0,0,0,62,90,13,18,21,20,2,1,21,24,10,5,1.96,0.72,4.06,1.56,1.47,0.28,1.56,4.06,1.56,1.06
UTBlBOLb,CAF Champions League,3,"January 23, 2026",06:00 PM,,30000,Al Salam Stadium,Cairo,Al Ahly (Egy),Young Africans (Tan),2,0,H,4-2-3-1,3-4-2-1,7.9,7.6,10,9,3,4,4,4,6,5,4,4,1,0,0,0,1,2,12,14,21,13,14,12,4,0,0,1,0,0,4,1,57,43,19,12,84,83,473,349,560,419,55,53,36,28,66,53,72,63,102,64,141,101,27,8,3,1,11,12,1,0,45,42,0,2,0,1,0,0,55,69,6,11,11,16,3,1,17,26,9,12,1.05,0.46,1.68,0.23,0.56,0.32,0.23,1.68,0.23,-0.32
n9trvZCa,CAF Champions League,4,"January 31, 2026",03:00 PM,,15000,Amaan Stadium,Zanzibar City,Young Africans (Tan),Al Ahly (Egy),1,1,D,4-4-2,4-2-3-1,6.8,7.0,11,4,2,2,6,2,5,2,6,2,,,0,0,5,4,15,10,17,18,10,15,2,1,2,1,0,0,1,1,53,47,18,9,84,83,343,306,408,368,45,36,17,21,38,59,66,67,67,52,101,78,22,18,4,2,18,11,2,1,40,25,0,0,0,1,1,0,77,56,10,5,13,9,3,0,13,15,4,8,1.03,0.21,0.79,0.54,0.77,0.59,0.54,0.79,-0.46,-0.21
dCNUm6pR,CAF Champions League,Final,"October 26, 2025",09:00 PM,,50000,Tripoli International Stadium,Tripoli,Al Ahly Tripoli (Lby),Berkane (Mar),1,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpa1rp8l,CAF Champions League,Final,"November 01, 2025",07:00 PM,,10000,Stade Municipal de Berkane,Berkane,Berkane (Mar),Al Ahly Tripoli (Lby),2,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M9NgQbKt,CAF Champions League,Semi-finals,"September 19, 2025",05:00 PM,,,,,Dadje (Ben),Al Ahly Tripoli (Lby),0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fNL1Oxkg,CAF Champions League,Semi-finals,"September 28, 2025",09:00 PM,,50000,Tripoli International Stadium,Tripoli,Al Ahly Tripoli (Lby),Dadje (Ben),1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bFIIKflI,CAF Champions League,Semi-finals,"September 27, 2025",07:00 PM,,,,,Horoya (Gui),Al Hilal Benghazi (Lby),2,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
